,F,PWV,EL,eta_atm,eta_atm_cont,R,W_F_spec,W_F_cont,theta_maj,theta_min,eta_a,eta_mb,eta_forward,eta_forward_cont,eta_sw,eta_sw_cont,eta_window,eta_window_cont,eta_inst,eta_inst_cont,eta_circuit,Tb_sky,Tb_M1,Tb_M2,Tb_wo,Tb_window,Tb_co,Tb_filter,Tb_KID,Pkid,Pkid_sky,Pkid_warm,Pkid_cold,n_ph,n_ph_cont,NEPkid,NEPinst,NEPinst_cont,NEFD_line,NEFD_continuum,NEF,NEF_cont,MDLF,MS,snr,obs_hours,on_source_fraction,on_source_hours,equivalent_Trx,equivalent_Trx_cont,skycoup,eta_Al_ohmic,eta_Al_ohmic_cont,chi_sq,poisson_term,bunching_term,r_term
10,224439811940.97705,0.5,60.0,0.9652375603843518,0.9647210299959924,500.00000000000006,448879623.881954,897759247.763908,0.000106659009844,0.000106659009844,1.0574101308696842,0.6,0.9738050877051304,0.973802322193422,0.4969580430382138,0.4966906938752692,0.9724734979017032,0.9724511312026726,0.1638423349264789,0.1638385665850263,0.32,14.365459934648316,17.388888954261656,17.72718364350478,21.60332563549545,29.100114306527043,20.82775162954796,17.72648423001393,8.384602084653908,5.0693542736934076e-14,1.8944582388472755e-14,3.0944128811455434e-14,8.705862336549767e-16,0.3805185027364496,0.3821897594544131,6.418201017319272e-18,3.917303192852637e-17,3.9173932921272577e-17,2.2358758727186663e-27,1.1185654053850698e-27,1.0036391207926906e-18,1.004202436913231e-18,4.408035514657999e-20,0.005485098201212,5.0,10.0,0.36,3.6000000000000005,45.49592334309391,45.3588408320129,0.498517632848992,0.9987153663609816,0.9987148769605764,0.0,1.511162786628091e-35,3.663063589035279e-36,1.5269361684120278e-35
11,224888691564.85895,0.5,60.0,0.9645423685452384,0.9640304708468376,500.0,449777383.129718,899554766.2594359,0.000106659009844,0.000106659009844,1.0531931455150418,0.6,0.9737978483122814,0.9737951226965612,0.4946159853744433,0.4943521012736717,0.9724185220322672,0.9723964335666628,0.1638330725919963,0.1638293511273113,0.32,14.565422213069825,17.584594775950393,17.92278652404061,21.796059509500083,29.301078408325083,20.96156805235272,17.83719723313956,8.428151906475755,5.1204314571287285e-14,1.9348537205273563e-14,3.105230531281904e-14,8.693951082244276e-16,0.3827118985283123,0.3843604428185614,6.4559314674619125e-18,3.9405544712815807e-17,3.940643982924052e-17,2.25528635554717e-27,1.1282707399500978e-27,1.0143767952061649e-18,1.0149413217531711e-18,4.455195942324514e-20,0.0053910877572536,5.0,10.0,0.36,3.6000000000000005,45.63195143485089,45.49615127473455,0.498485842884526,0.9987140857530058,0.9987136034064152,0.0,1.5294066241542265e-35,3.728219683644e-36,1.5423210862057458e-35
12,225338468947.9887,0.5,60.0,0.9637118102805964,0.9629465546673016,500.0,450676937.89597744,901353875.7919548,0.000106659009844,0.000106659009844,1.0489929776326008,0.6,0.9737906017479112,0.9737879133266168,0.492215567579006,0.4918233556450438,0.9723634362947556,0.9723416060477632,0.1638237917469404,0.1638201137869271,0.32,14.87481399004249,17.88725645694146,18.225103798873302,22.09316631431645,29.602729456427745,21.16150976339002,18.00190346090022,8.490876037269011,5.1922602374898654e-14,1.9960691433841362e-14,3.11598074073904e-14,8.681660642031364e-16,0.3854283197165697,0.3880716519008744,6.5069294552239675e-18,3.971907490259569e-17,3.971996664394466e-17,2.279757028406272e-27,1.1408131395346398e-27,1.0274339167089716e-18,1.0282763448739358e-18,4.5125435029278896e-20,0.0052759741583219,5.0,10.0,0.36,3.6000000000000005,45.86952270566948,45.66647173277527,0.4984539816184087,0.9987128038684346,0.99871232809783,0.0,1.5539183243245712e-35,3.8130947448757e-36,1.5639565760028388e-35
13,225789145885.8847,0.5,60.0,0.9595545417919522,0.960107705692646,500.0,451578291.7717694,903156583.5435388,0.000106659009844,0.000106659009844,1.044809560153745,0.6,0.9737833480049608,0.9737806943253168,0.4881341040934657,0.4884141725976844,0.9723082404695784,0.9722866502651104,0.1638144923543145,0.1638108548366658,0.32,15.671512101507714,18.666532363199,19.00298434404168,22.855590831657484,30.353340251361487,21.6562151011716,18.40724537138839,8.638862404399822,5.35679685559834e-14,2.15003775784795e-14,3.126676725794554e-14,8.669033199755665e-16,0.401223141260493,0.3986764149536156,6.631145350052031e-18,4.0479601375618936e-17,4.048050024928983e-17,2.338159523881694e-27,1.1684353285449675e-27,1.0558620836843893e-18,1.0552800594202453e-18,4.637401499241639e-20,0.0050156995098039,5.0,10.0,0.36,3.6000000000000005,45.98486282781669,46.13188400329024,0.4984220500088703,0.9987115207059962,0.9987110510775598,0.0,1.606255163927534e-35,4.142852297219557e-36,1.6135165198642853e-35
14,226240724177.6565,0.5,60.0,0.9565075122842558,0.9590370368737432,500.0,452481448.355313,904962896.710626,0.000106659009844,0.000106659009844,1.0406428262773304,0.6,0.973776087076364,0.9737734659014636,0.4846399260941735,0.4859202688996264,0.9722529343367066,0.9722315675931164,0.1638051743770483,0.1638015745080882,0.32,15.975667080204,18.964736160931952,19.300901593866865,23.14875427490921,30.65146090560162,21.85376168658614,18.56994685522223,8.700729659055193,5.4281542737956415e-14,2.2108853994554933e-14,3.1373295160115707e-14,8.656103981241316e-16,0.4126125370001952,0.4023108458261215,6.6893739987745936e-18,4.08373790645766e-17,4.0838276548094356e-17,2.3710898548547492e-27,1.1824471419457745e-27,1.072874171705266e-18,1.0700707907824489e-18,4.7121194796600234e-20,0.0048773482015278,5.0,10.0,0.36,3.6000000000000005,45.707941760485824,46.378698015295086,0.4983900488715088,0.9987102362644164,0.9987097723825108,0.0,1.6307771435785994e-35,4.323718745958047e-36,1.6350100310389494e-35
15,226693205626.01172,0.5,60.0,0.9628391535585046,0.9620759308052542,500.0,453386411.2520235,906772822.504047,0.000106659009844,0.000106659009844,1.0364927094686185,0.6,0.9737686977383812,0.9737662282365148,0.4858987795819388,0.4855123863588425,0.9721965928142062,0.9721763592028232,0.1637956819573374,0.1637922729984917,0.32,15.138324439956214,18.146686438671843,18.485041741453628,22.35224078932563,29.89838195893787,21.361148905386912,18.16922207296116,8.56298630795475,5.2821480755693546e-14,2.0544343155295105e-14,3.147948392031233e-14,8.642902641110519e-16,0.3871510793958928,0.389800316380518,6.575185215569624e-18,4.014260410895453e-17,4.014343958478538e-17,2.3200714150963305e-27,1.1609830803278184e-27,1.051888852738929e-18,1.0527479046282986e-18,4.619950861106196e-20,0.0050942127643666,5.0,10.0,0.36,3.6000000000000005,46.12710005290087,45.92464618233709,0.4983579789033868,0.9987089290992452,0.9987084920447656,0.0,1.5901634752130071e-35,3.917851210266423e-36,1.5910316202103798e-35
16,227146592037.26385,0.5,60.0,0.9639335969680568,0.9631921153263472,500.00000000000006,454293184.0745276,908586368.1490552,0.000106659009844,0.000106659009844,1.0323591434582111,0.6,0.9737614222971896,0.97375898148896,0.4845074902482675,0.4841335815429993,0.9721410635557892,0.9721210260948,0.1637863263878794,0.1637829504764519,0.32,14.833832642816889,17.850215195662077,18.18964297969451,22.065217824411977,29.63708916993782,21.191345121981147,18.031985374194043,8.518505025438895,5.2375504717784766e-14,1.999407043812591e-14,3.1585412222985924e-14,8.629454330422377e-16,0.3823005902105176,0.3848567726293355,6.545654835367328e-18,3.996459887540234e-17,3.996542262992408e-17,2.3117925537594142e-27,1.1568128488941906e-27,1.050231600167148e-18,1.0510643850049345e-18,4.6126721211270303e-20,0.005130764311441,5.0,10.0,0.36,3.6000000000000005,46.0378904548562,45.84110881783753,0.4983258407022083,0.9987076420741798,0.9987072100923104,0.0,1.5799286599269446e-35,3.834313768710683e-36,1.5775984114472477e-35
17,227600885221.33832,0.5,60.0,0.9643092060576808,0.9636052973820896,500.0,455201770.4426767,910403540.8853532,0.000106659009844,0.000106659009844,1.028242062240999,0.6,0.9737540182307984,0.9737517257979508,0.4827596298246453,0.4824060981469496,0.972084495358636,0.9720655691257348,0.163776795778023,0.1637736070863038,0.32,14.725161663787674,17.745020119901053,18.085080608064395,21.964784426301005,29.55575015142903,21.13973009804172,17.991257758853884,8.508283413599731,5.230062777091688e-14,1.9815063595370264e-14,3.1691147249260536e-14,8.615780527706643e-16,0.3802666679118245,0.3826767512310054,6.542543729541263e-18,3.994792851124517e-17,3.9948706302191524e-17,2.3145656018538674e-27,1.1581534654594927e-27,1.0535943597696e-18,1.0543870158429649e-18,4.6274415371927953e-20,0.005118477484842,5.0,10.0,0.36,3.6000000000000005,46.03220589043096,45.84537913555587,0.4982936347818155,0.9987063322870716,0.9987059265497302,0.0,1.5808412038082053e-35,3.8140900788032443e-36,1.575343048886652e-35
18,228056086991.781,0.5,60.0,0.9645344841817208,0.9637424597682333,500.0,456112173.983562,912224347.967124,0.000106659009844,0.000106659009844,1.0241414000750977,0.6,0.9737467282482314,0.973744461286194,0.4809430990510805,0.4805470554047089,0.9720287420756966,0.9720099890299816,0.1637674024649133,0.1637642429517713,0.32,14.693497894334424,17.71499797637499,18.05551497620344,21.937654189256875,29.545103990462454,21.134554929359403,17.988456962954153,8.511549390939924,5.2371647675733735e-14,1.9782090291515398e-14,3.1796746734118496e-14,8.601899692417264e-16,0.3788353593725193,0.3815796292970401,6.548858945436986e-18,3.9988781936259e-17,3.9989553442173746e-17,2.321041644645622e-27,1.1614996759169989e-27,1.0586553504456969e-18,1.0595482845274105e-18,4.649669672961324e-20,0.0050899547427708,5.0,10.0,0.36,3.6000000000000005,46.08421906876794,45.873954989775406,0.4982613615847486,0.9987050426733318,0.9987046414387168,0.0,1.5861620231822007e-35,3.807816510629046e-36,1.5774822337904328e-35
19,228512199165.76456,0.5,60.0,0.9644359296352364,0.9635571664717404,500.0,457024398.33152914,914048796.6630584,0.000106659009844,0.000106659009844,1.020057091480809,0.6,0.973739431044348,0.9737371880622888,0.4789725472049893,0.4785350204491106,0.9719728773709158,0.9719542864371804,0.1637579903794519,0.1637548581789362,0.32,14.751988554771584,17.772899852141798,18.11366039832766,21.996206386586348,29.6170305751538,21.18363600249575,18.02997381679802,8.530583825303092,5.261447716425629e-14,1.9921008399037334e-14,3.1902260597712725e-14,8.58782778357801e-16,0.3786674903294355,0.381738544251371,6.567227068509718e-18,4.010324658535723e-17,4.010401365517753e-17,2.3325966286684924e-27,1.1673869948337527e-27,1.066053570767371e-18,1.0670486778678957e-18,4.682163043583872e-20,0.0050396514278339,5.0,10.0,0.36,3.6000000000000005,46.17473775790701,45.94143607913541,0.4982290214925169,0.9987037517740196,0.9987033547784426,0.0,1.5967046119896274e-35,3.828353833189473e-36,1.584796481498592e-35
