F_center,HWHM,peak_value,chi_square,R
220.43875042124466,0.09710621279106846,0.06717803695188361,0.00046982668324466057,1135.0393763967281
220.5114628679153,0.22467559725391806,0.11849374157311951,0.020440950476752696,490.7330069733905
221.3361414207122,0.1343998397616808,0.1481024848249234,0.0053678718841372155,823.4241268932603
221.34220275812984,0.1640540440623821,0.02846383702229827,0.0009418805293373647,674.6014827710181
222.21405862079118,0.14779180651283497,0.12289935023286594,0.0020826829509208683,751.7807105277282
222.36839471701595,0.12741650905932178,0.05613174315361088,0.0010533811099529616,872.6043287431736
223.04994037789533,0.329709806376548,0.23361564401015023,0.03291136432207562,338.2519052574966
223.1513995131935,0.13510719856641606,0.008887847488427778,0.00011033442289483901,825.8309027238716
223.76820963261503,0.45039300189966003,0.08650313802798253,0.00623537491902306,248.41439441644212
224.02286828328482,0.3210885203543541,0.3264691093364294,0.024010730720870316,348.8490775628674
224.81537615307315,0.1561436432917307,0.1846126700455376,0.002562689542981454,719.8992268069464
224.9562658956368,0.2894285985454401,0.09883359853483463,0.010312591550312064,388.6213508723444
225.92017181491346,0.29701747472969897,0.14184968512467191,0.034104752987203786,380.31461283635304
225.9378532637123,0.09932787189477743,0.06725967645853971,0.0004269648975907108,1137.3336051287731
226.64574124459796,0.12000514869880385,0.10365648873457947,0.0011669800295655301,944.3167384986417
226.72886202616553,0.19999818484654064,0.06650983469862445,0.004195526432674344,566.8272994580811
227.55997316869818,0.15418763479862285,0.17422734459326078,0.0013376383020372432,737.9319796490278
227.73727542064518,0.41765709712211274,0.1542453108528614,0.030303654584622725,272.63666413174866
228.48739169077004,0.16233809351677198,0.03603420976585841,0.0005599025922848604,703.7392972314408
228.49863153979356,0.11471929901390299,0.09726607656536777,0.0006202995531869143,995.9031893670372
229.4014973305082,0.1038531459978762,0.07855622139812457,0.00042288540093724674,1104.451363154658
229.45473520186204,0.22429308606886944,0.09251376019779813,0.006866953991026771,511.5064829314616
230.37317647150095,0.1805951189309707,0.046817069522641655,7.913125819983551e-05,637.8167301397472
230.46443220338534,0.16058326306833925,0.18498091037045133,0.00033899153805261095,717.5854687462255
231.1923419915177,0.0796799425725303,0.0067845696281756815,1.041917218937053e-07,1450.7562036774193
231.3324012346321,0.23807969284580754,0.16575374380229244,0.0007197369250908339,485.82976244104674
232.30225571310095,0.28638909069703455,0.07238390188319942,0.0005526447594216107,405.57106268906205
232.3222046000316,0.14885099132387536,0.1843674712911035,0.00024439053134100335,780.3851440079984
233.08799426291012,0.20173086196701173,0.06882661169864841,0.00018202142813023863,577.7202159108061
233.11604693502036,0.10113003520950459,0.06642733566145963,1.735590335884533e-05,1152.5559466685088
233.92662375960168,0.6198532602827973,0.09014580310475424,0.00548014370276336,188.6951628300517
234.05820852972207,0.33571893887612503,0.38141152986559784,0.010917117423149759,348.5925001926773
234.8351144085443,0.246810487041353,0.07736441527095067,0.00038185263335229516,475.739741093736
234.9369686400664,0.1446148916127743,0.14720120325722838,0.00020767005332302617,812.2848415540134
235.87393140992205,0.17656785264093866,0.18770665784189786,0.00056904280756327,667.9413264700735
235.99203084634297,0.1682071233413147,0.04298275189934187,6.431166697957964e-05,701.492380817558
236.9357855578262,0.5119718280889973,0.061622748395732674,0.0011976944430374117,231.39533521035756
236.94768989655157,0.3263050693871481,0.38155992616527334,0.008032038103104386,363.07693647171396
237.82293383255572,0.14709233989924386,0.15892772762662696,0.00015980904396815235,808.4137283949015
237.8994314910628,0.22219356295635007,0.052180627663364565,0.0001775725222053266,535.3427622423926
238.86239042196607,0.16621404585285537,0.1833385956031838,0.00016278315698031045,718.5385242154091
238.91071269695007,0.22385836441041507,0.03958937960498739,5.4634805385479234e-05,533.6202498534709
239.55611772864913,0.10194269969701342,0.02676919250675225,1.499889844685129e-06,1174.9547463459382
239.87015733713514,0.1148374836918915,0.04765519940841472,1.1840595468929233e-05,1044.3896436319772
240.5012936560222,0.21600965953509532,0.026409930998308767,1.2578901234026344e-05,556.6910622738787
240.54927089841908,0.2900144738841415,0.2938820265378047,0.0033853783898823253,414.7194236148997
241.53912889164977,0.18299856255630953,0.13047977036857727,0.00042583930799705973,659.9481589297376
241.7544708739602,0.2032102371332123,0.06506111458055791,0.0006095289915122172,594.8383169187501
242.35923507624645,0.4486121742549747,0.1689978108671603,0.012578123787772478,270.1211079243899
242.5825690263912,0.19808565272616252,0.21056324679543922,0.0010365814600083508,612.3173629382994
243.44231027603732,0.18393681089584146,0.12063674959397636,0.00023979558848724678,661.755276419064
243.60968164467505,0.10807213828766438,0.04992478185830232,1.796624650736371e-05,1127.0697772086244
244.48964074714297,0.1462825403319281,0.1400825442977521,0.0001616845185156356,835.6760833944168
244.49933774614493,0.5191748366549751,0.1741106188071658,0.015214840758036582,235.4691719281364
245.5556348030178,0.2491228680642028,0.12151115488644525,0.0013295383778030873,492.84041387106686
245.73067746645987,0.1615397847133282,0.1613754913162417,0.00039047435846826704,760.588724017859
246.49433508797912,0.2532866561710758,0.12536045788905262,0.0009465059616844148,486.59163260754445
246.6436449589768,0.1282779839281929,0.10225671943543453,8.438682461112357e-05,961.3638966178418
247.45110175306257,0.16858360249120152,0.1332823883233919,0.00033084759441520526,733.91213052876
247.67986291036377,0.2268632029346913,0.11613950697894163,0.0024650281380472097,545.8793222223551
248.37652296217004,0.4036191568824061,0.33155768721165985,0.020374614898690194,307.686737270667
248.53527799272433,0.4987563214826811,0.05878801781462968,0.0019146047701259481,249.15501547317683
249.36956140380036,0.1336529855563826,0.1168889524290534,0.0001534697389820835,932.8993301784559
249.37953865026074,0.3601320872454046,0.1031009181152821,0.0024280243076897482,346.23343417928515
250.34513380587626,0.340862296792926,0.31367655543162337,0.008245233856473182,367.22326898765374
250.59058442425555,0.23658428587333202,0.06991556685172808,0.00013812157993977215,529.6010753614096
251.36343945148386,0.22097343933552827,0.17037765481777112,0.0008433895217306386,568.7639206941317
251.66419005664972,0.17969220776697892,0.10091398248045833,0.0003516705255077742,700.264616880334
252.36247560429126,0.1152141024734139,0.0643899811389635,1.1663811044130808e-05,1095.1891747042202
252.6020346467613,0.4071931736147707,0.22899506415977583,0.008694549784112425,310.1746922773048
253.32367386108155,0.17887447352849173,0.13205034939629862,0.00013919915251246127,708.1045966593196
253.69366127854505,0.1300060620012724,0.05628054160713703,2.1203675361532608e-05,975.6993534503879
254.51514675315082,0.20187488422462074,0.19453841577279643,0.0004320049388130418,630.3784339758647
254.66918509608732,0.19209939952118416,0.049012508799499845,0.00010923709760150675,662.8578374811711
255.43798276894006,0.1308255323058103,0.10631139332809658,3.491982485702534e-05,976.2543223284688
255.48723334901646,0.18329697291282354,0.03702132810234923,2.5221435914878045e-05,696.9215838346844
