,F,NEPkid,MDLF,eta_circuit,W_F_spec,NEFD_line,NEFD_continuum,Pkid,pwv,EL
25,231068334033.70386,1.06365624900113e-17,1.371722796741487e-19,0.20877467081303938,531578714.0044303,5.875316550675622e-27,2.937658275337811e-27,1.1398570391146665e-13,0.5,60.0
26,231841955812.1903,8.763462843765042e-18,1.2560526725194975e-19,0.19416178743487744,340621583.75736874,8.395917924494807e-27,4.197958962247403e-27,7.751462763015509e-14,0.5,60.0
27,232244414910.72864,8.894117907905688e-18,2.104682726715353e-19,0.12062474888013126,563037911.9911275,8.511017711624648e-27,4.255508855812324e-27,7.930608977000521e-14,0.5,60.0
28,232286285987.98114,9.947306658411126e-18,1.8231811127932268e-19,0.15826169202283677,409797839.46968126,1.0129608140051015e-26,5.0648040700255076e-27,9.789138903871869e-14,0.5,60.0
29,232926468464.28308,1.1265108116042463e-17,2.0181580870597087e-19,0.16602745527501064,470738224.4327347,9.761312444051345e-27,4.880656222025673e-27,1.240303530251733e-13,0.5,60.0
30,233289513829.12582,1.2835505991438903e-17,2.1732992838243686e-19,0.17126456841580734,699553532.383822,7.073446603133479e-27,3.5367233015667395e-27,1.6116153801446193e-13,0.5,60.0
31,233888981852.96478,1.0058948767051715e-17,5.116549978184576e-19,0.0615059079262638,748135502.9682186,1.5571464223856668e-26,7.785732111928334e-27,9.851160466688499e-14,0.5,60.0
32,234173645673.68884,1.5234340239834177e-17,2.667721224421496e-19,0.17343680795007213,656989696.0134704,9.245158947801761e-27,4.622579473900881e-27,2.225906133429648e-13,0.5,60.0
33,234879193620.58914,1.2514212528806692e-17,5.416328453551412e-19,0.07448689901949163,678844431.2791129,1.816633126723776e-26,9.08316563361888e-27,1.4900764603779065e-13,0.5,60.0
34,235150373919.68384,1.69814714250224e-17,1.845555899267811e-19,0.26870169995043197,491736675.4180097,8.545295780180538e-27,4.272647890090269e-27,2.73791570948176e-13,0.5,60.0
35,235660257242.1485,1.4742544629009053e-17,3.4220999506959977e-19,0.13381125695791518,484507765.8830021,1.6081421827704955e-26,8.040710913852477e-27,2.0592868098483586e-13,0.5,60.0
36,236426015334.98145,1.5380964310966976e-17,4.863153735020445e-19,0.10281698583385171,443123190.84303343,2.4987684614683863e-26,1.2493842307341931e-26,2.2093502085082794e-13,0.5,60.0
37,236663867406.8748,1.992460372916494e-17,2.798248268012931e-19,0.2204818846877278,370370522.3772406,1.7202133983819063e-26,8.601066991909532e-27,3.692292998949061e-13,0.5,60.0
38,237043964859.84232,2.2245393089292197e-17,3.9384591391349953e-19,0.17456556129488873,593441244.1070132,1.5110579289678134e-26,7.555289644839067e-27,4.593524750494289e-13,0.5,60.0
39,237690846688.6482,2.3918958552320278e-17,2.80898310987305e-19,0.2557322015950748,395127173.70419484,1.6186193437584448e-26,8.093096718792224e-27,5.287501113614487e-13,0.5,60.0
40,238363444381.92697,3.191445762719886e-17,3.415131553986361e-19,0.2774426936451795,504912831.6178364,1.5400099485042469e-26,7.700049742521234e-27,9.339106751680606e-13,0.5,60.0
41,238691293185.68246,2.0818246899738807e-17,4.0874575556327084e-19,0.1581578744220172,334517504.90002453,2.7820626360427055e-26,1.3910313180213527e-26,3.996835916879955e-13,0.5,60.0
42,239633182780.38654,2.0733499159707014e-17,1.7179862759902786e-18,0.03968906046131633,753042186.5621786,5.194369979464315e-26,2.5971849897321574e-26,3.9330824556577753e-13,0.5,60.0
43,239793725917.58508,2.9011478963068564e-17,4.677064491531306e-19,0.18906993331069874,357623644.149583,2.977691015417304e-26,1.488845507708652e-26,7.690833899353457e-13,0.5,60.0
44,240177133687.75864,3.1527476405163716e-17,4.739991633483902e-19,0.19716835517352663,456534558.9152695,2.3639398022894953e-26,1.1819699011447476e-26,9.073340767130727e-13,0.5,60.0
45,240701251141.5121,3.2732357823728645e-17,5.406513956970478e-19,0.1792134075861519,429165941.4417443,2.8683000190131997e-26,1.4341500095065998e-26,9.758505288474079e-13,0.5,60.0
46,241173452219.0162,3.675446724702365e-17,9.764047183096327e-19,0.1124235919415177,598808921.5659783,3.7125653210736404e-26,1.8562826605368202e-26,1.2275251127806163e-12,0.5,60.0
47,241482214223.22394,2.848525064543098e-17,2.2170967028657662e-18,0.042516791197894914,592780427.0989767,8.515757333480605e-26,4.257878666740303e-26,7.374740828366465e-13,0.5,60.0
48,241648854819.9425,4.101274092058794e-17,5.75709275148651e-19,0.2023310471721622,727693836.0473254,1.801304054462069e-26,9.006520272310344e-27,1.528954257993568e-12,0.5,60.0
49,242441085776.811,3.158166563254308e-17,1.9017462019208112e-18,0.05037712094972376,1101248080.379663,3.931876693806421e-26,1.9659383469032106e-26,9.080574783584162e-13,0.5,60.0
50,242596146957.89844,3.7760362842955706e-17,3.774539932139636e-19,0.285865350570653,423714396.6187199,2.0282584797803714e-26,1.0141292398901857e-26,1.298691871521828e-12,0.5,60.0
51,243102274641.66885,2.99546934106108e-17,5.034062014593316e-19,0.16944536950559155,512998677.3244153,2.234265669223194e-26,1.117132834611597e-26,8.215631280633412e-13,0.5,60.0
52,243782003608.57315,2.6059639398791446e-17,2.9298943786108616e-19,0.2502841171719803,419774478.75704414,1.589162944981578e-26,7.94581472490789e-27,6.251158916906746e-13,0.5,60.0
53,244368034334.84702,2.09359762847441e-17,3.5918289668177844e-19,0.16396860464715132,473893650.9260574,1.725707771074103e-26,8.628538855370516e-27,4.055144523271203e-13,0.5,60.0
54,244563674290.284,1.561777218335265e-17,2.4603412781904633e-19,0.1774085992915377,426573485.2160498,1.3132094285371074e-26,6.566047142685537e-27,2.296969778393641e-13,0.5,60.0
55,245330242638.0864,1.0108895112633193e-17,1.1779054960056118e-19,0.2378803724581597,433717488.0541314,6.183523430918492e-27,3.091761715459246e-27,1.0231356279970922e-13,0.5,60.0
56,245962689648.10638,9.300588299629735e-18,1.537774302493898e-19,0.16924893891458243,526879134.10544324,6.645292413445006e-27,3.322646206722503e-27,8.827451055928726e-14,0.5,60.0
57,246204107725.48114,4.690533293850914e-18,2.738585932133859e-19,0.04921225604253681,846342667.8852733,7.367372576641509e-27,3.6836862883207546e-27,2.4591986207266152e-14,0.5,60.0
58,246477054303.39917,1.32974574533195e-17,1.9448328663161079e-19,0.1929170821062644,388205644.3233134,1.1406513953128511e-26,5.7032569765642555e-27,1.6923586882381394e-13,0.5,60.0
59,246883002109.97742,1.809474254980053e-17,4.1272248164094056e-19,0.12552034669379145,575845121.6194075,1.6318676409168314e-26,8.159338204584157e-27,3.0557494603002855e-13,0.5,60.0
60,247536421144.77386,2.3353340248167188e-17,3.5360452516644254e-19,0.18621160348354954,905372731.2559074,8.892480073045216e-27,4.446240036522608e-27,5.078403493385179e-13,0.5,60.0
61,248510367320.17645,1.946926495659224e-17,4.267196062751508e-19,0.13146112999689752,575387684.2837936,1.688552360008846e-26,8.44276180004423e-27,3.5210516280489495e-13,0.5,60.0
62,248643798324.2078,1.671949112948833e-17,3.316047993684512e-19,0.1440820129285686,465794490.1806815,1.6209102066048707e-26,8.104551033024354e-27,2.6181067708620475e-13,0.5,60.0
63,249734652348.79108,1.1124275159165479e-17,1.6523972951964173e-19,0.1970740635186209,622124143.9040326,6.047416989899689e-27,3.0237084949498444e-27,1.239102396151148e-13,0.5,60.0
64,249874018174.83707,1.262798906430855e-17,3.2224475404465657e-19,0.11708425129338258,364183353.2938772,2.0146437553385084e-26,1.0073218776692542e-26,1.511817119082231e-13,0.5,60.0
65,250605733616.01398,6.313414225060189e-18,8.405741895284281e-20,0.21566323051784644,428686906.2551583,4.464453750700699e-27,2.2322268753503494e-27,4.5287098217371387e-14,0.5,60.0
66,251275072694.4974,6.814158681860352e-18,1.727403857623971e-19,0.11510038798345555,347720374.67963034,1.1310876035210174e-26,5.655438017605087e-27,4.722319204701599e-14,0.5,60.0
67,251662151283.80908,1.796159082595821e-17,2.1408793196879063e-19,0.2413325340828461,503737129.562649,9.676553906564803e-27,4.8382769532824015e-27,3.0304770749408675e-13,0.5,60.0
68,251710324295.86478,1.1509636883602405e-17,5.785861590178599e-19,0.058300790945076314,891700252.9878353,1.477344047946831e-26,7.386720239734154e-27,1.2564785042894853e-13,0.5,60.0
69,252555326499.93625,1.466663275012815e-17,2.240012900524464e-19,0.18860295507491118,548461956.2537363,9.299005563822726e-27,4.649502781911363e-27,2.048180706209759e-13,0.5,60.0
70,252592778571.86414,1.4142047399318787e-17,8.68988910223562e-19,0.047976832127982615,750068529.1905112,2.637823825116079e-26,1.3189119125580394e-26,1.8562804784139217e-13,0.5,60.0
71,253133864463.89404,1.1126832020572446e-17,1.058333475465671e-19,0.3027318078036714,447696821.1285309,5.382338642893977e-27,2.6911693214469883e-27,1.2322787877091901e-13,0.5,60.0
72,254271138682.74136,9.036159362359463e-18,1.3208440151906943e-19,0.19847513539558226,733878141.2660769,4.0978879279754765e-27,2.0489439639877383e-27,8.52587438737258e-14,0.5,60.0
73,254365586224.88254,4.682569931073952e-18,1.4010085787971022e-19,0.09795735921788469,493406984.1116445,6.464992099080087e-27,3.232496049540043e-27,2.5436971890134562e-14,0.5,60.0
74,255320428347.60126,1.3012842211435805e-17,2.8798559604048974e-19,0.13290641192533917,450635360.7710243,1.4550502627682933e-26,7.275251313841467e-27,1.6066942467215212e-13,0.5,60.0
