,F,PWV,EL,eta_atm,eta_atm_cont,R,W_F_spec,W_F_cont,theta_maj,theta_min,eta_a,eta_mb,eta_forward,eta_forward_cont,eta_sw,eta_sw_cont,eta_window,eta_window_cont,eta_inst,eta_inst_cont,eta_circuit,Tb_sky,Tb_M1,Tb_M2,Tb_wo,Tb_window,Tb_co,Tb_filter,Tb_KID,Pkid,Pkid_sky,Pkid_warm,Pkid_cold,n_ph,n_ph_cont,NEPkid,NEPinst,NEPinst_cont,NEFD_line,NEFD_continuum,NEF,NEF_cont,MDLF,MS,snr,obs_hours,on_source_fraction,on_source_hours,equivalent_Trx,equivalent_Trx_cont,skycoup,eta_Al_ohmic,eta_Al_ohmic_cont,chi_sq,poisson_term,bunching_term,r_term
0,220438746286.06,0.5,60.0,0.9665959158671816,0.7907251378369027,500.0,194489637.42671484,388979274.8534297,0.000106659009844,0.000106659009844,1.0961434536292445,0.6,0.973870477710535,0.9730147639362062,0.5159214152977503,0.4216793895607351,0.9729675641875588,0.965187217203864,0.0270283063665812,0.0268121741853515,0.0527621027164189,61.49713924954286,63.97251674611276,64.25976962275553,67.52037807495051,74.44462587298416,50.762632139539456,42.25899954653631,5.615404749471214,1.4133250396134751e-14,1.0577786529537472e-14,3.4967967284361824e-15,6.413326078860117e-17,0.0626761689180144,0.1120138782357775,3.7620361721642894e-18,1.3918874979217344e-16,1.4031074638548414e-16,1.766177023299555e-26,1.0891613376542062e-26,3.4350312889292495e-18,4.2366118731912456e-18,1.50868370930005e-19,8.790454393852317e-05,5.0,10.0,0.36,3.6000000000000005,340.4264412840293,295.2105899673345,0.4943955107023339,0.9987269331247072,0.9985753773373968,0.0004722338715229,7.301969269749536e-36,1.375905467590625e-37,4.2570651096670526e-36
1,220511298977.73108,0.5,60.0,0.9665801129587048,0.6933634143849435,500.0,452690937.3282191,905381874.656438,0.000106659009844,0.000106659009844,1.0954222654162302,0.6,0.97386941656742,0.9725589922028572,0.5155729828775666,0.3693417854394251,0.9729595805987415,0.9610453468859552,0.0476816591477425,0.0470977803903639,0.0930803878981999,87.88290732359303,90.05090459607827,90.3103957688202,93.2294210383642,99.86348981279832,67.54209716057268,56.011329866440256,8.80304384434673,1.077011442555403e-13,8.612993514129926e-14,2.1314894225065814e-14,2.844561111301179e-16,0.1105649668693444,0.2460808645179762,1.0793672160692268e-17,2.2636947525772684e-16,2.291758140453818e-16,1.2349120580621634e-26,8.726069369085799e-27,5.590334970820809e-18,7.900425043765025e-18,2.455304359872873e-19,0.0001798074673272,5.0,10.0,0.36,3.6000000000000005,364.2795640046177,294.1656560523899,0.4920411190868494,0.9987267454252235,0.9984946557391872,0.0206506608289033,5.908454119710956e-35,4.758650342471752e-36,3.244057599141311e-35
2,221336136157.0436,0.5,60.0,0.9663512690281542,0.745311546120551,500.0,269572000.80669254,539144001.6133851,0.000106659009844,0.000106659009844,1.0872730183959471,0.6,0.9738551027583756,0.9728720738630876,0.511608770087155,0.3941869129547156,0.9728518018233177,0.9638960152107638,0.0595820929607543,0.0590335977948043,0.1163243653189501,73.66973595530396,76.00299566821658,76.2744747201802,79.3670996276995,85.98373790669635,58.34475620172102,48.45203870066248,9.1787545866398,5.784434535471815e-14,4.5039035240906994e-14,1.2617599788694478e-14,2.05874736235114e-16,0.1381079564347148,0.2757603956763306,7.779716409760068e-18,1.3057138517917498e-16,1.3178455490383096e-16,1.205439358352874e-26,7.895282125625606e-27,3.2495269968231992e-18,4.256693999076422e-18,1.427209253912229e-19,0.0001887074524076,5.0,10.0,0.36,3.6000000000000005,266.9006666628065,210.1454314356072,0.493661200729188,0.9987242135254598,0.9985501063344872,0.0054155979791382,3.0909659976008707e-35,1.6869150823862372e-36,1.7423249252588583e-35
3,221342196921.7867,0.5,60.0,0.966365132814474,0.6662594897251453,500.0,329841151.8381258,659682303.6762516,0.000106659009844,0.000106659009844,1.0872134760597054,0.6,0.9738556324404058,0.972523847107622,0.5115883705161756,0.3522317483444266,0.9728557936427112,0.9607222435302548,0.0114529640378763,0.0113101215796232,0.0223599615254114,95.05304041860327,97.13708937108322,97.38507260656804,100.19732634815844,106.52361970991828,71.89438179523802,59.55139738287988,4.597438905364207,1.982828714404309e-14,1.6083903302027963e-14,3.7000157122257305e-15,4.9039435148671057e-17,0.0265461824912293,0.0624633688074689,4.559457709310213e-18,3.981028574115424e-16,4.0313074242497294e-16,3.003861547622753e-26,2.2089846829176983e-26,9.907971528301441e-18,1.4572281044127017e-17,4.351632919657222e-19,3.038924869371553e-05,5.0,10.0,0.36,3.6000000000000005,772.7350153871914,695.7704787872254,0.4918577211450129,0.9987243072188274,0.9984884306657608,0.000948383340434,1.0949115674920268e-35,2.5912801009666617e-37,5.972462598444494e-36
4,222214053550.4211,0.5,60.0,0.966217724865194,0.7622339514409062,500.0,296104059.647736,592208119.295472,0.000106659009844,0.000106659009844,1.078698850368114,0.6,0.9738413462613446,0.9730475452548464,0.5074969421113363,0.400030007939968,0.9727480140903756,0.9655055070709774,0.0494402433882944,0.0490721405450156,0.0965343488949773,68.90154465091051,71.28989870552799,71.56243262841849,74.70285147541962,81.13881336398136,55.09664616596631,45.7598399922119,7.992667807180683,4.5217056261955276e-14,3.493590725366004e-14,1.011976602813166e-14,1.7628803032246022e-16,0.1144538215202073,0.2210807264463963,6.819851515219521e-18,1.3794130141426864e-16,1.3897603486368056e-16,1.1687635158788932e-26,7.469355106910275e-27,3.4607562181990146e-18,4.423412740213363e-18,1.519982232791604e-19,0.0002007365676157,5.0,10.0,0.36,3.6000000000000005,269.1516873459533,216.77427839795672,0.4945751332272015,0.9987217801762692,0.9985811861661702,0.0020970791878661,2.3966605770117035e-35,8.519268704614138e-37,1.3619793549208314e-35
5,222368387525.68115,0.5,60.0,0.9661516252126784,0.6882207296638724,500.0,255842157.75670624,511684315.5134125,0.000106659009844,0.000106659009844,1.0772020359048924,0.6,0.9738381754256212,0.9727997051430186,0.5067564136721866,0.3605938785888329,0.9727240629697236,0.9632435032016368,0.0225757298527237,0.0223556977137803,0.0440812361334792,88.77983472232957,90.93578639514612,91.1831960856425,94.05121187844944,100.02993852727168,67.5199279801515,55.91280089371281,5.999710398589827,2.835695013594973e-14,2.2862579729734865e-14,5.421444569028098e-15,7.998026143893845e-17,0.0522668065293416,0.1187926526091247,5.4455071296865015e-18,2.412106791324623e-16,2.435847540705389e-16,2.3688375944291164e-26,1.6808918297346214e-26,6.060485215339505e-18,8.600859853498473e-18,2.661796806423454e-19,4.886627250955723e-05,5.0,10.0,0.36,3.6000000000000005,524.9545506296952,453.6855721687003,0.4932899715650738,0.9987212192917114,0.9985372898735642,0.0010643827911435,1.5554069885703167e-35,4.1162009982422125e-37,8.541374394197002e-36
6,223049690027.31363,0.5,60.0,0.9659644135005546,0.7082369358578361,500.0,663699595.0975864,1327399190.1951728,0.000106659009844,0.000106659009844,1.070631485666926,0.6,0.9738276166069127,0.972885034215583,0.503562323911366,0.3688502741007743,0.972644225600909,0.964038912940024,0.0939851878510778,0.0931536690843356,0.1835299834574568,83.36284693732992,85.58167275243379,85.83518044887796,88.77476458053358,94.83077408645327,64.08758846942779,53.10000855233291,13.17615204501819,3.0998224429333063e-13,2.473225739659431e-13,6.1925741309665e-14,8.157197734541078e-16,0.217573989566875,0.4749387422162414,1.838512870149487e-17,1.9561730014974942e-16,1.973634413138369e-16,7.452338915987921e-27,5.1324552193536624e-27,4.946114321071169e-18,6.81281690188304e-18,2.1723592808558683e-19,0.0004937357693875,5.0,10.0,0.36,3.6000000000000005,253.74359897521597,187.6388302731452,0.4937408049897416,0.9987193515458672,0.9985524053597472,0.0335766487614255,1.7202846077764366e-34,1.3951585536931452e-35,9.336950523131771e-35
7,223151395035.13336,0.5,60.0,0.965925485469414,0.5542206085270951,500.0,272112170.71279824,544224341.4255965,0.000106659009844,0.000106659009844,1.069655791388148,0.6,0.97382603355557,0.972475183658264,0.503082321783565,0.2882539382816784,0.9726322499738148,0.9602769314267232,0.0035735794377186,0.0035281843643931,0.0069784086770531,124.53311791246048,126.27011583574502,126.46697509423367,128.826005825931,133.67365608031864,89.58104424108551,73.90306171491832,3.3672949720357543,7.813257120587338e-15,6.599348727701339e-15,1.2007412703188373e-15,1.4407822370701236e-17,0.0082736108294263,0.0239827167456921,2.8741298741153463e-18,8.042719979243378e-16,8.146200927370472e-16,7.480421047514213e-26,6.611683021824574e-26,2.035513609084797e-17,3.5982388382672764e-17,8.940082240246616e-19,4.9003567623756585e-06,5.0,10.0,0.36,3.6000000000000005,1744.4421613066968,1639.043915803952,0.4916048326807809,0.9987190715196098,0.9984798114528968,0.000111139759125,4.420845552599297e-36,5.269025639351382e-38,2.3534249623148684e-36
8,223768168906.30063,0.5,60.0,0.9656504343462922,0.7025981222506911,500.0,908727644.2690282,1817455288.5380564,0.000106659009844,0.000106659009844,1.0637673173552342,0.6,0.9738160197942216,0.972878576700665,0.5001652354354736,0.3635651714841706,0.9725564039898994,0.9639842096744664,0.0347898552926522,0.0344832145687302,0.0679421755136184,84.8437569361336,87.04479348010409,87.29573937857312,90.21258043245464,96.19311984701932,64.97611590492906,53.8217990573461,7.309841954223074,1.6559027797274282e-13,1.3237913374893022e-13,3.2847865898112246e-14,4.060798266994787e-16,0.0806216571874278,0.1776896515937304,1.3269607139152517e-17,3.814217399735812e-16,3.8481351884129556e-16,1.0684847288474851e-26,7.415055936459674e-27,9.709616105830067e-18,1.3476532626524144e-17,4.2645141805940986e-19,0.0002401834879594,5.0,10.0,0.36,3.6000000000000005,436.88210239985625,369.4301525612428,0.4937094667519663,0.9987173001700356,0.998551262244979,0.0063810091293928,9.270976059794535e-35,2.935628968244756e-36,4.987731591103915e-35
9,224022847595.8839,0.5,60.0,0.965516406336144,0.7727530419833437,500.0,643976723.6672678,1287953447.3345356,0.000106659009844,0.000106659009844,1.0613500204297348,0.6,0.9738118065561752,0.973101616184444,0.4989572419499077,0.3990502196189215,0.972524468751582,0.9660316148378147,0.1313270200720354,0.1304502429999349,0.2564809876140024,66.02347034264875,68.44453553934912,68.71984748634661,71.89666596064245,78.34052077303744,53.24042601984773,44.23396163049392,14.48332639219366,3.194546031662127e-13,2.4700764080487485e-13,7.15319242909297e-14,1.0174499254644253e-15,0.3045137800891502,0.5725334063314694,1.8414554403843028e-17,1.4021908358038042e-16,1.4116151860178764e-16,5.5562751279611785e-27,3.497024865922473e-27,3.5781118526983695e-18,4.504005231479441e-18,1.571525441301631e-19,0.0008882031345724,5.0,10.0,0.36,3.6000000000000005,178.7251442168998,129.2289793431226,0.4948719392807863,0.9987165548805272,0.9985907676595964,0.024311245376188,1.7488701961515792e-34,9.134787763104107e-36,9.622266691272538e-35
10,224815378239.1875,0.5,60.0,0.9645665744444484,0.7790134098263177,500.0,312641022.6243462,625282045.2486924,0.000106659009844,0.000106659009844,1.0538801597437717,0.6,0.9737986574687534,0.973158794844164,0.4949514631729564,0.3994752511421214,0.972424670642388,0.966554316116152,0.0742394602399663,0.0737912898421944,0.1450041599571062,64.27102151492174,66.71079177825557,66.98654127140128,70.18063303082003,76.56605510885203,52.05574114239047,43.25503230573295,9.820835109182449,6.80413258814067e-14,5.214554580703175e-14,1.5651336138691902e-14,2.6776971229944154e-16,0.1734063162704721,0.3187278311712975,8.394353939252359e-18,1.130713223415021e-16,1.1375805948376861e-16,9.303663940518944e-27,5.7986441392258046e-27,2.9087070085170964e-18,3.625788067044455e-18,1.2775193323623345e-19,0.0003167902136203,5.0,10.0,0.36,3.6000000000000005,209.93886009730213,162.3086051450561,0.4951688816293567,0.998714228888806,0.9986008950001916,0.0025763085058717,3.625621651432914e-35,1.4847941847176835e-36,2.049467364594625e-35
