,F,NEPkid,MDLF,eta_circuit,W_F_spec,NEFD_line,NEFD_continuum,Pkid,pwv,EL
91,263796540436.64304,4.753037681005876e-18,4.937883612463925e-19,0.03075283839580499,1003765781.4145137,1.120059152666579e-26,5.600295763332895e-27,2.4338521317864817e-14,0.5,60.0
92,264030119206.9349,1.0653622162439937e-17,1.7043390789666783e-19,0.19854639937296636,531241288.0853779,7.304604011895832e-27,3.652302005947916e-27,1.1293891699733565e-13,0.5,60.0
93,265028035590.22043,8.954657229600895e-18,3.439795115811176e-19,0.08254093049821516,773540564.4470785,1.0124695691691454e-26,5.062347845845727e-27,7.926115975053784e-14,0.5,60.0
94,265078398100.56564,1.0808545109522975e-17,1.3412556440985388e-19,0.25479771681187374,465039492.782503,6.566806549829316e-27,3.283403274914658e-27,1.1571726957045985e-13,0.5,60.0
95,266002431143.7726,7.386712940665302e-18,1.8332512728818794e-19,0.12811457531872172,444293449.4805719,9.394736019157633e-27,4.6973680095788166e-27,5.569693231312943e-14,0.5,60.0
96,266322180254.2383,6.435963636335682e-18,1.5228616171234865e-19,0.13467073456979667,596214694.2853194,5.815542871739601e-27,2.9077714358698006e-27,4.5365964414014336e-14,0.5,60.0
97,266647268949.02344,6.808567643174962e-18,9.174780012782833e-20,0.23721043105439554,526426479.011416,3.9681714693805136e-27,1.9840857346902568e-27,5.212440649357539e-14,0.5,60.0
98,267695299621.84286,5.2171372144888136e-18,1.4452859267628778e-19,0.11695809075663849,491066554.7369598,6.701097143275047e-27,3.350548571637523e-27,3.1055326534038447e-14,0.5,60.0
99,268065417453.1955,1.2272672872940048e-17,1.9736876796585857e-19,0.20113857733295198,724462464.110756,6.202903686584108e-27,3.101451843292054e-27,1.4942620026427126e-13,0.5,60.0
100,268652036547.7875,5.444669659009567e-18,1.907632961197866e-19,0.0927107089512681,400573300.94844484,1.0842896567379435e-26,5.421448283689717e-27,3.124876952774306e-14,0.5,60.0
101,269091189880.86148,7.064192299651951e-18,1.7063230517072966e-19,0.1343866662368226,460193380.76890844,8.442156264978571e-27,4.2210781324892854e-27,5.107498080926904e-14,0.5,60.0
102,269834135305.62177,7.828638576346378e-18,2.0094937106873505e-19,0.12726265251589244,430230477.98682725,1.0634522015941473e-26,5.3172610079707365e-27,6.153367760795052e-14,0.5,60.0
103,270181247936.16315,7.81637620308264e-18,1.3965704671713188e-19,0.18286916511805743,537212649.2365258,5.9190106352363304e-27,2.9595053176181652e-27,6.37588502050876e-14,0.5,60.0
