,F,PWV,EL,eta_atm,R,W_F_spec,W_F_cont,theta_maj,theta_min,eta_a,eta_mb,eta_forward,eta_sw,eta_window,eta_inst,eta_circuit,Tb_sky,Tb_M1,Tb_M2,Tb_wo,Tb_window,Tb_co,Tb_KID,psd_KID,Pkid,Pkid_sky,Pkid_warm,Pkid_cold,n_ph,NEPkid,NEPinst,NEFD_line,NEFD_continuum,NEF,MDLF,MS,snr,obs_hours,on_source_fraction,on_source_hours,equivalent_Trx,skycoup,eta_Al_ohmic
10,224439811940.97702,0.5,60.0,0.9652303195156051,500.0,448879623.881954,897759247.763908,0.0001066590098440979,0.0001066590098440979,1.0574101308696842,0.6,0.9738050675743203,0.49695430476259395,0.9724733474056038,0.16384230957089616,0.32,14.221909986174987,17.248086869033433,17.586550386978764,21.46502669513007,28.960939625586686,20.735623828094553,8.358828136151116,5.659303182500378e-23,5.08069176798943e-14,1.8803915031977813e-14,3.118997417640208e-14,8.793580332127636e-16,0.3805458957826336,6.61517059214466e-18,4.0375227921712195e-17,2.3045108483067005e-27,1.1522554241533502e-27,1.0344479628197945e-18,4.543349560321842e-20,0.005163239524105599,5.0,10.0,0.36000000000000004,3.6000000000000005,47.548927888741,0.1595297408959778,0.9987153628002973
11,224888691564.85898,0.5,60.0,0.9645321916540827,500.0,449777383.12971795,899554766.2594359,0.0001066590098440979,0.0001066590098440979,1.0531931455150418,0.6,0.9737978090315456,0.49461074672736405,0.9724182258888501,0.16383302269775352,0.32,14.424427786146396,17.44613169325363,17.78447849803103,21.65996062331591,29.164098607549754,20.870916711733525,8.40279383026495,5.703455559141795e-23,5.1305706323748775e-14,1.9207029561662527e-14,3.128735632724037e-14,8.777945306154984e-16,0.3827493149114307,6.6544602957206694e-18,4.061733212355555e-17,2.3246648617889297e-27,1.1623324308944648e-27,1.0455816781890322e-18,4.592249420581305e-20,0.0050741007246299825,5.0,10.0,0.36000000000000004,3.6000000000000005,47.6985023172997,0.15951948866567553,0.9987140788047747
12,225338468947.9887,0.5,60.0,0.9636790229085697,500.0,450676937.89597744,901353875.7919549,0.0001066590098440979,0.0001066590098440979,1.0489929776326008,0.6,0.9737905432792788,0.4921987918841405,0.9723629939217078,0.16382371721592937,0.32,14.6701383699387,17.686377528260252,18.024510578520136,21.896061757868438,29.406961356141018,21.032294918039412,8.45431831752364,5.756739831780832e-23,5.18885975930158e-14,1.969391400422622e-14,3.138506610850532e-14,8.762256593767826e-16,0.385554024826285,6.699945258984439e-18,4.0897285038121276e-17,2.347462799954695e-27,1.1737313999773476e-27,1.0579473465082995e-18,4.646560082635571e-20,0.004976022652877693,5.0,10.0,0.36000000000000004,3.6000000000000005,47.870718960760854,0.15950921725245581,0.9987127935258979
13,225789145885.8847,0.5,60.0,0.9588542722986839,500.0,451578291.7717694,903156583.5435388,0.0001066590098440979,0.0001066590098440979,1.044809560153745,0.6,0.9737832703104046,0.4877778317287799,0.972307651282839,0.16381439308813275,0.32,16.021814281148245,19.00705363872418,19.34249551426575,23.1861703435973,30.666235955090094,21.861192028030782,8.698859432749384,6.043927329772721e-23,5.4586127583429536e-14,2.2294838626635335e-14,3.148310467753812e-14,8.746514376943306e-16,0.40398026611073823,6.902299631841353e-18,4.213487900375085e-17,2.4355483444334936e-27,1.2177741722167468e-27,1.0998407609068381e-18,4.8305581499420634e-20,0.00462259959865099,5.0,10.0,0.36000000000000004,3.6000000000000005,48.62005465508794,0.15949892661944193,0.9987115069623842
14,226240724177.6565,0.5,60.0,0.957007814950251,500.0,452481448.355313,904962896.710626,0.0001066590098440979,0.0001066590098440979,1.0406428262773304,0.6,0.9737759901178011,0.48489336944211253,0.9722521977504633,0.1638050502769981,0.32,16.541170039963617,19.51586855074487,19.85056828228462,23.68502244667443,31.162872709752307,22.189082682899173,8.798177445952943,6.155677991030597e-23,5.5706601859808957e-14,2.331858857531496e-14,3.158147319586756e-14,8.730718839463376e-16,0.4106285002886238,6.986462460499143e-18,4.2651080956813444e-17,2.475102208555524e-27,1.237551104277762e-27,1.1199378321546374e-18,4.918825538055575e-20,0.004476035382544007,5.0,10.0,0.36000000000000004,3.6000000000000005,48.92833639341186,0.15948861672968556,0.9987102191129497
15,226693205626.01175,0.5,60.0,0.962854680587145,500.0,453386411.2520235,906772822.504047,0.0001066590098440979,0.0001066590098440979,1.0364927094686183,0.6,0.9737687026943392,0.4859066178022096,0.9721966331023578,0.1637956887450853,0.32,14.92141383491616,17.933676810068828,18.27233862329487,22.143215927256183,29.691348314054082,21.22460704003761,8.5242477867533,5.814409439221294e-23,5.272348458396866e-14,2.0238957368210015e-14,3.168017282922501e-14,8.714870166914982e-16,0.3870892269371099,6.767543746851353e-18,4.131698336324138e-17,2.3879070101146865e-27,1.1939535050573433e-27,1.0826445897194472e-18,4.755031666627734e-20,0.0048088913544235504,5.0,10.0,0.36000000000000004,3.6000000000000005,48.128608367201295,0.15947828754616697,0.998708929976309
16,227146592037.26382,0.5,60.0,0.9639490326490059,500.0,454293184.0745276,908586368.1490552,0.0001066590098440979,0.0001066590098440979,1.0323591434582113,0.6,0.9737614080328826,0.4845152416758961,0.9721409571158552,0.16378630845487935,0.32,14.622262444324477,17.642755991454838,17.982505083491873,21.861828259358568,29.435741153829635,21.058499113830507,8.48078153914567,5.75303186203626e-23,5.227126325373322e-14,1.968956571061587e-14,3.1779204747559925e-14,8.698968546690178e-16,0.3822385911943068,6.735515984827384e-18,4.1123803621735065e-17,2.3788098646078457e-27,1.1894049323039228e-27,1.0806771077005942e-18,4.746390382690232e-20,0.004845742415912937,5.0,10.0,0.36000000000000004,3.6000000000000005,48.01159787870326,0.1594679390317942,0.9987076395511756
17,227600885221.33832,0.5,60.0,0.9643046663313413,500.0,455201770.44267666,910403540.8853533,0.0001066590098440979,0.0001066590098440979,1.0282420622409987,0.6,0.9737541061262879,0.48275740068904693,0.972085169567844,0.16377690936879039,0.32,14.529607908399981,17.55324114089358,17.89359197902442,21.776722595739546,29.369305742620437,21.016679462926316,8.473363055144949,5.735164525741119e-23,5.2213140917947834e-14,1.9533894054633593e-14,3.1878570125055145e-14,8.683014167986159e-16,0.38029088138885014,6.732918318948217e-18,4.111030269711057e-17,2.3819240550866603e-27,1.1909620275433302e-27,1.0842560469354476e-18,4.7621092710089496e-20,0.004833079795574158,5.0,10.0,0.36000000000000004,3.6000000000000005,48.004018245363255,0.1594575711494038,0.9987063478362616
18,228056086991.781,0.5,60.0,0.9645408087157887,500.0,456112173.983562,912224347.967124,0.0001066590098440979,0.0001066590098440979,1.0241414000750977,0.6,0.9737467969674064,0.48094628657689664,0.9720292702347668,0.16376749144915356,0.32,14.470390099917,17.496331205047465,17.83720513401048,21.723390410187754,29.333520494060405,20.99500341307122,8.471795189665855,5.724343425349042e-23,5.221885448728923e-14,1.9441721216794132e-14,3.197827014014076e-14,8.66700722180514e-16,0.37881571765133876,6.7351013874614974e-18,4.11259971552572e-17,2.3870324329278974e-27,1.1935162164639487e-27,1.0887545523520144e-18,4.7818669420963876e-20,0.004812415828644632,5.0,10.0,0.36000000000000004,3.6000000000000005,48.01428740352883,0.15944718386176035,0.9987050548302779
19,228512199165.76456,0.5,60.0,0.9644425586969512,500.0,457024398.33152914,914048796.6630583,0.0001066590098440979,0.0001066590098440979,1.020057091480809,0.6,0.9737394805490797,0.4789758637794731,0.9719732588926201,0.16375805465822868,0.32,14.504918133967402,17.530744916971116,17.871913094417405,21.758988630923156,29.38339629090227,21.029628501449235,8.486597918923417,5.733215380297773e-23,5.240438619371317e-14,1.95290129978119e-14,3.207830597551292e-14,8.650947900954241e-16,0.37864553949188934,6.7507286719867394e-18,4.122379620395376e-17,2.3977565509812628e-27,1.1988782754906314e-27,1.0958332450576941e-18,4.8129569307163436e-20,0.0047694644261134025,5.0,10.0,0.36000000000000004,3.6000000000000005,48.074728965580945,0.1594367771315559,0.9987037605319341
